first_name,sex,year,frequency,percent_rank
Liam,M,2023,20802,100
Liam,M,2022,20533,100
Liam,M,2021,20391,100
Liam,M,2020,19842,100
Liam,M,2019,20611,100
Liam,M,2018,19966,100
Liam,M,2017,18855,100
Noah,M,2016,19177,100
Noah,M,2015,19675,100
Noah,M,2014,19333,100
Noah,M,2013,18284,100
Jacob,M,2012,19101,100
Jacob,M,2011,20394,100
Jacob,M,2010,22148,100
Jacob,M,2009,21199,100
Jacob,M,2008,22618,100
Jacob,M,2007,24302,100
Jacob,M,2006,24862,100
Jacob,M,2005,25846,100
Jacob,M,2004,27902,100
Jacob,M,2003,29652,100
Jacob,M,2002,30585,100
Jacob,M,2001,32572,100
Jacob,M,2000,34490,100
Jacob,M,1999,35370,100
Michael,M,1998,36617,100
Michael,M,1997,37557,100
Michael,M,1996,38369,100
Michael,M,1995,41408,100
Michael,M,1994,44470,100
Michael,M,1993,49562,100
Michael,M,1992,54399,100
Michael,M,1991,60803,100
Michael,M,1990,65313,100
Michael,M,1989,65409,100
Michael,M,1988,64163,100
Michael,M,1987,63663,100
Michael,M,1986,64227,100
Michael,M,1985,64930,100
Michael,M,1984,67742,100
Michael,M,1983,67996,100
Michael,M,1982,68231,100
Michael,M,1981,68765,100
Michael,M,1980,68687,100
Michael,M,1979,67720,100
Michael,M,1978,67135,100
Michael,M,1977,67592,100
Michael,M,1976,66918,100
Michael,M,1975,68422,100
Michael,M,1974,67541,100
Michael,M,1973,67810,100
Michael,M,1972,71386,100
Michael,M,1971,77583,100
Michael,M,1970,85270,100
Michael,M,1969,85162,100
Michael,M,1968,81973,100
Michael,M,1967,82411,100
Michael,M,1966,79987,100
Michael,M,1965,81001,100
Michael,M,1964,82617,100
Michael,M,1963,83772,100
Michael,M,1962,85035,100
Michael,M,1961,86950,100
David,M,1960,85921,100
Michael,M,1959,85249,100
Michael,M,1958,90614,100
Michael,M,1957,92777,100
Michael,M,1956,90693,100
Michael,M,1955,88355,100
Michael,M,1954,88563,100
Robert,M,1953,86246,100
James,M,1952,87065,100
James,M,1951,87252,100
James,M,1950,86225,100
James,M,1949,86858,100
James,M,1948,88604,100
James,M,1947,94761,100
James,M,1946,87438,100
James,M,1945,74461,100
James,M,1944,76956,100
James,M,1943,80275,100
James,M,1942,77174,100
James,M,1941,66751,100
James,M,1940,62480,100
Robert,M,1939,59660,100
Robert,M,1938,62271,100
Robert,M,1937,61841,100
Robert,M,1936,58501,100
Robert,M,1935,56526,100
Robert,M,1934,55839,100
Robert,M,1933,54219,100
Robert,M,1932,59269,100
Robert,M,1931,60519,100
Robert,M,1930,62148,100
Robert,M,1929,59808,100
Robert,M,1928,60700,100
Robert,M,1927,61673,100
Robert,M,1926,61131,100
Robert,M,1925,60895,100
Robert,M,1924,60800,100
John,M,1923,57467,100
John,M,1922,57281,100
John,M,1921,58215,100
John,M,1920,56913,100
John,M,1919,53523,100
John,M,1918,56558,100
John,M,1917,51852,100
John,M,1916,50043,100
John,M,1915,47576,100
John,M,1914,37947,100
John,M,1913,29329,100
John,M,1912,24587,100
John,M,1911,13446,100
John,M,1910,11450,100
John,M,1909,9590,100
John,M,1908,9343,100
John,M,1907,8983,100
John,M,1906,8264,100
John,M,1905,8059,100
John,M,1904,8108,100
John,M,1903,7608,100
John,M,1902,7907,100
John,M,1901,6900,100
John,M,1900,9829,100
John,M,1899,6990,100
John,M,1898,8159,100
John,M,1897,7550,100
John,M,1896,8138,100
John,M,1895,8320,100
John,M,1894,8237,100
John,M,1893,8049,100
John,M,1892,9039,100
John,M,1891,7680,100
John,M,1890,8502,100
John,M,1889,8548,100
John,M,1888,9247,100
John,M,1887,8110,100
John,M,1886,9026,100
John,M,1885,8756,100
John,M,1884,9388,100
John,M,1883,8894,100
John,M,1882,9557,100
John,M,1881,8768,100
John,M,1880,9655,100
